,Geography,Time,DelinquencyRate,AverageMortgageAmount,PopulationSize
177,Saskatchewan,2016Q4,0.62,232174,1140690
178,Alberta,2016Q4,0.53,302095,4208958
179,British Columbia,2016Q4,0.25,366703,4884002
180,Newfoundland,2017Q1,0.47,192057,529347
181,Prince Edward Island,2017Q1,0.66,175124,148181
182,Nova Scotia,2017Q1,0.7,186024,945943
183,New Brunswick,2017Q1,0.78,141196,764617
184,Québec,2017Q1,0.41,171992,8257450
185,Ontario,2017Q1,0.18,319009,13971785
186,Manitoba,2017Q1,0.36,203999,1324129
187,Saskatchewan,2017Q1,0.62,234786,1143313
188,Alberta,2017Q1,0.54,301254,4217855
189,British Columbia,2017Q1,0.23,358655,4890848
190,Newfoundland,2017Q2,0.47,191412,528544
191,Prince Edward Island,2017Q2,0.55,174901,148860
192,Nova Scotia,2017Q2,0.64,182526,947384
193,New Brunswick,2017Q2,0.73,135748,764813
194,Québec,2017Q2,0.4,171716,8272894
195,Ontario,2017Q2,0.16,326645,14006386
196,Manitoba,2017Q2,0.35,205085,1328412
197,Saskatchewan,2017Q2,0.66,233545,1146218
198,Alberta,2017Q2,0.52,300115,4227969
199,British Columbia,2017Q2,0.2,369174,4905210
200,Newfoundland,2017Q3,0.46,200378,528249
201,Prince Edward Island,2017Q3,0.54,176919,150402
202,Nova Scotia,2017Q3,0.6,194802,950108
203,New Brunswick,2017Q3,0.71,147934,766621
204,Québec,2017Q3,0.37,177306,8302063
205,Ontario,2017Q3,0.16,338561,14070141
206,Manitoba,2017Q3,0.33,216750,1334790
207,Saskatchewan,2017Q3,0.65,238533,1150331
208,Alberta,2017Q3,0.51,307837,4241100
209,British Columbia,2017Q3,0.18,389430,4929384
210,Newfoundland,2017Q4,0.52,193619,528288
211,Prince Edward Island,2017Q4,0.44,175523,151376
212,Nova Scotia,2017Q4,0.58,188559,953683
213,New Brunswick,2017Q4,0.66,142799,767935
214,Québec,2017Q4,0.34,173182,8336460
215,Ontario,2017Q4,0.15,323821,14150783
216,Manitoba,2017Q4,0.3,217136,1340565
217,Saskatchewan,2017Q4,0.66,234340,1154755
218,Alberta,2017Q4,0.5,307662,4258195
219,British Columbia,2017Q4,0.18,381223,4956550
220,Newfoundland,2018Q1,0.56,196431,527544
221,Prince Edward Island,2018Q1,0.5,179179,151516
222,Nova Scotia,2018Q1,0.59,185858,953838
223,New Brunswick,2018Q1,0.65,139711,768005
224,Québec,2018Q1,0.34,175297,8350601
225,Ontario,2018Q1,0.15,322179,14186830
226,Manitoba,2018Q1,0.3,207988,1344418
227,Saskatchewan,2018Q1,0.66,230702,1156659
228,Alberta,2018Q1,0.5,302814,4268853
229,British Columbia,2018Q1,0.17,384794,4967421
230,Newfoundland,2018Q2,0.6,192252,526395
231,Prince Edward Island,2018Q2,0.45,182114,152039
232,Nova Scotia,2018Q2,0.54,179407,954618
233,New Brunswick,2018Q2,0.59,139750,768522
234,Québec,2018Q2,0.35,183507,8367551
235,Ontario,2018Q2,0.14,315576,14235643
236,Manitoba,2018Q2,0.31,207436,1347055
237,Saskatchewan,2018Q2,0.67,229851,1158451
238,Alberta,2018Q2,0.46,302116,4281706
239,British Columbia,2018Q2,0.17,371860,4983183
240,Newfoundland,2018Q3,0.6,192106,525560
241,Prince Edward Island,2018Q3,0.43,181967,153396
242,Nova Scotia,2018Q3,0.52,190443,958406
243,New Brunswick,2018Q3,0.58,150353,770301
244,Québec,2018Q3,0.35,187727,8401738
245,Ontario,2018Q3,0.13,327367,14308697
246,Manitoba,2018Q3,0.32,220454,1352825
247,Saskatchewan,2018Q3,0.7,233255,1161767
248,Alberta,2018Q3,0.47,305101,4298275
249,British Columbia,2018Q3,0.16,378187,5010476
250,Newfoundland,2018Q4,0.62,188614,525765
251,Prince Edward Island,2018Q4,0.39,178140,155129
252,Nova Scotia,2018Q4,0.56,179921,963309
253,New Brunswick,2018Q4,0.62,143324,772524
254,Québec,2018Q4,0.38,173911,8433888
255,Ontario,2018Q4,0.14,321579,14393683
256,Manitoba,2018Q4,0.35,214060,1357879
257,Saskatchewan,2018Q4,0.72,223628,1165938
258,Alberta,2018Q4,0.5,295839,4317453
259,British Columbia,2018Q4,0.17,364330,5039661
260,Newfoundland,2019Q1,0.64,185276,524883
261,Prince Edward Island,2019Q1,0.39,181172,155244
262,Nova Scotia,2019Q1,0.54,177863,963890
263,New Brunswick,2019Q1,0.63,140850,772748
264,Québec,2019Q1,0.38,175658,8446906
265,Ontario,2019Q1,0.14,321074,14428712
266,Manitoba,2019Q1,0.35,206692,1361632
267,Saskatchewan,2019Q1,0.74,217157,1168461
268,Alberta,2019Q1,0.51,291721,4330698
269,British Columbia,2019Q1,0.17,363239,5046576
270,Newfoundland,2019Q2,0.65,190582,524126
271,Prince Edward Island,2019Q2,0.38,181358,155833
272,Nova Scotia,2019Q2,0.52,180958,965287
273,New Brunswick,2019Q2,0.6,137809,773805
274,Québec,2019Q2,0.37,179523,8465271
275,Ontario,2019Q2,0.14,324080,14467162
276,Manitoba,2019Q2,0.35,214873,1364223
277,Saskatchewan,2019Q2,0.75,216369,1169286
278,Alberta,2019Q2,0.53,293612,4343951
279,British Columbia,2019Q2,0.17,363924,5063527
280,Newfoundland,2019Q3,0.65,194536,523476
281,Prince Edward Island,2019Q3,0.34,190715,157262
282,Nova Scotia,2019Q3,0.5,193586,969747
283,New Brunswick,2019Q3,0.57,152606,776868
284,Québec,2019Q3,0.37,187136,8501703
285,Ontario,2019Q3,0.14,343117,14544718
286,Manitoba,2019Q3,0.34,222637,1369540
287,Saskatchewan,2019Q3,0.73,228721,1172302
288,Alberta,2019Q3,0.51,297609,4361694
289,British Columbia,2019Q3,0.16,376343,5090955
290,Newfoundland,2019Q4,0.65,193870,524137
291,Prince Edward Island,2019Q4,0.32,185934,158334
292,Nova Scotia,2019Q4,0.5,190168,975231
293,New Brunswick,2019Q4,0.57,147047,780154
294,Québec,2019Q4,0.36,183501,8540429
295,Ontario,2019Q4,0.14,343768,14637880
296,Manitoba,2019Q4,0.36,218918,1373574
297,Saskatchewan,2019Q4,0.73,224315,1176272
298,Alberta,2019Q4,0.5,297552,4384968
299,British Columbia,2019Q4,0.16,386494,5125659
300,Newfoundland,2020Q1,0.67,186268,523631
301,Prince Edward Island,2020Q1,0.25,193439,158629
302,Nova Scotia,2020Q1,0.46,188267,975898
303,New Brunswick,2020Q1,0.57,146701,780040
304,Québec,2020Q1,0.36,189390,8556650
305,Ontario,2020Q1,0.14,348272,14689075
306,Manitoba,2020Q1,0.37,212508,1377004
307,Saskatchewan,2020Q1,0.75,216188,1179154
308,Alberta,2020Q1,0.52,291747,4402045
309,British Columbia,2020Q1,0.17,393711,5131575
310,Newfoundland,2020Q2,0.68,187431,522994
311,Prince Edward Island,2020Q2,0.26,189309,159249
312,Nova Scotia,2020Q2,0.47,192060,977043
313,New Brunswick,2020Q2,0.54,149590,781024
314,Québec,2020Q2,0.34,195538,8572054
315,Ontario,2020Q2,0.14,363432,14723497
316,Manitoba,2020Q2,0.38,217416,1378818
317,Saskatchewan,2020Q2,0.76,225641,1179618
